venue_name,venue_id,city_name,n_events,n_artists,first_event,last_event
Wiltern Theatre,43d637b3,Los Angeles,412,350,2018-08-18,2022-12-31
The Chapel,63d772f7,San Francisco,378,300,2018-08-02,2022-12-31
The Fillmore,3d23db7,San Francisco,369,314,2018-08-25,2022-12-31
Yoshi's Oakland,33d4b801,Oakland,350,118,2018-08-22,2022-12-31
Whisky A Go Go,5bd66bd4,West Hollywood,340,250,2018-08-02,2022-12-31
The Kelly Clarkson Show,23d3ece3,Universal City,334,14,2019-09-09,2022-12-19
The Glass House,7bd61e48,Pomona,327,295,2018-08-04,2022-12-31
Teragram Ballroom,23d5b49b,Los Angeles,323,273,2018-08-02,2022-12-18
Great American Music Hall,4bd4c71e,San Francisco,320,272,2018-08-02,2022-12-31
The Regent Theater,3d47157,Los Angeles,320,295,2018-08-03,2022-12-16
The Fonda Theatre,1bd74988,Los Angeles,318,265,2018-08-04,2022-12-21
The Observatory,6bd7cab2,Santa Ana,314,276,2018-08-02,2022-12-31
House of Blues,43d63bdb,Anaheim,312,268,2018-08-04,2022-12-30
Brick by Brick,3d035e7,San Diego,312,273,2018-08-03,2022-12-17
Private Venue,33d30865,Los Angeles,310,133,2018-12-07,2022-10-29
The Masked Singer,23d24cff,Los Angeles,308,86,2019-09-25,2022-11-30
Troubadour,3bd6d81c,West Hollywood,306,249,2018-08-09,2022-12-16
Belly Up Tavern,3bd61cdc,Solana Beach,304,242,2018-08-08,2022-12-31
Golden Gate Park,3d6cdeb,San Francisco,290,265,2018-08-10,2022-10-02
Hollywood Palladium,73d63a75,Los Angeles,288,233,2018-08-10,2022-12-17
The Roxy,3d66d67,West Hollywood,272,239,2018-08-13,2022-12-18
Largo at the Coronet,4bd63b02,Los Angeles,271,123,2018-08-04,2022-12-22
The Observatory North Park,53d44759,San Diego,271,245,2018-08-03,2022-12-18
Ace of Spades,63d7a257,Sacramento,268,250,2018-08-09,2022-12-23
1720,bd2fd2a,Los Angeles,254,232,2018-08-11,2022-12-12
Fox Theater,3bd2c488,Oakland,254,224,2018-08-03,2022-12-10
House of Blues,2bd6c42a,San Diego,253,235,2018-08-02,2022-12-23
The Forum,7bd3cea4,Inglewood,243,183,2018-08-04,2021-12-18
The Independent,63d6c247,San Francisco,241,194,2018-08-08,2022-12-31
Chain Reaction,53d623c1,Anaheim,241,190,2018-08-10,2022-12-17
Slim's,73d63e1d,San Francisco,240,211,2018-08-03,2020-03-11
Hollywood Bowl,33d62cf9,Los Angeles,239,174,2018-08-03,2022-11-19
The Casbah,53d63b61,San Diego,236,209,2018-08-15,2022-12-31
Holy Diver,bd2995e,Sacramento,232,214,2018-08-06,2021-12-18
The Echo,73d6ca21,Los Angeles,232,220,2018-08-02,2022-12-14
Greek Theatre,4bd61ff2,Los Angeles,230,204,2018-08-02,2022-11-12
The Belasco,3d28953,Los Angeles,227,212,2018-08-13,2022-12-31
The Coach House,7bd6c2a4,San Juan Capistrano,226,167,2018-08-03,2022-12-31
The Regency Ballroom,63d35a77,San Francisco,226,211,2018-08-16,2022-12-17
Private Venue,5bd25f0c,Los Angeles,225,84,2018-08-17,2022-10-29
Bottom of the Hill,3d6358b,San Francisco,223,206,2018-08-04,2022-12-23
National Orange Show Events Center,23d2947b,San Bernardino,221,205,2018-09-28,2022-12-31
The Catalyst,7bd63658,Santa Cruz,220,206,2018-08-04,2022-12-17
Echoplex,7bd61e78,Los Angeles,208,192,2018-08-05,2022-11-27
Discovery Park,5bd6c3c8,Sacramento,206,181,2018-10-13,2022-10-16
The Warfield,63d63667,San Francisco,202,183,2018-08-17,2022-12-28
Lodge Room,4bd293fe,Los Angeles,200,163,2018-08-09,2022-12-31
Zebulon Cafe,23d2b0bb,Los Angeles,200,170,2018-08-03,2022-12-17
Moreno Beach,73d20205,Perris,199,178,2018-10-11,2022-10-02
The Mountain Winery,bd70d76,Saratoga,193,158,2018-08-04,2022-10-16
El Rey Theatre,7bd4e2f8,Los Angeles,189,181,2018-08-08,2022-12-14
Private Venue,1bd3518c,Los Angeles,184,86,2018-11-17,2022-11-01
Banc of California Stadium,53d23f6d,Los Angeles,184,170,2018-10-16,2022-12-17
Cornerstone,63d0c27f,Berkeley,182,165,2018-08-05,2022-12-15
Private Venue,73d2dae5,Santa Barbara,176,8,2018-09-29,2022-12-30
The UC Theatre Taube Family Music Hall,33d520d9,Berkeley,176,161,2018-08-10,2022-12-31
The Novo,5bd5c754,Los Angeles,175,169,2018-08-11,2022-12-22
The Sign of the Scorpion,6bde4e06,Los Angeles,172,1,2020-03-18,2022-12-26
Private Venue,3bd3541c,Los Angeles,170,115,2019-10-10,2022-10-29
Kia Forum,2bd02c76,Inglewood,164,124,2022-08-24,2022-12-18
Sweetwater Music Hall,4bd7337a,Mill Valley,161,105,2018-08-03,2022-12-31
Harlow's Restaurant & Nightclub,2bd390d6,Sacramento,159,138,2018-08-17,2022-12-14
Moroccan Lounge,4bd2a786,Los Angeles,159,150,2018-08-04,2022-12-16
Soda Bar,13d675c9,San Diego,158,152,2018-08-15,2022-12-30
Staples Center,53d637b5,Los Angeles,155,119,2018-08-03,2021-12-11
Masonic Auditorium,5bd397ec,San Francisco,151,126,2018-08-14,2022-12-13
Music Box,73d586a5,San Diego,150,142,2018-08-02,2022-12-23
Microsoft Theater,1bd5b144,Los Angeles,148,125,2018-08-03,2022-12-31
FivePoint Amphitheatre,3bd29ca0,Irvine,147,140,2018-08-04,2022-10-28
Holland America Lines-MS Eurodam,3d27d73,San Diego,145,42,2018-10-28,2019-11-01
SAP Center at San Jose,6bd3966a,San Jose,144,138,2018-08-14,2022-12-10
Blue Note Napa,1bd39900,Napa,143,42,2018-08-04,2022-12-31
Los Angeles State Historic Park,13d65575,Los Angeles,141,133,2018-08-04,2022-12-11
Garden Amphitheatre,53d237a9,Garden Grove,140,121,2018-08-25,2022-12-30
August Hall,23d2c803,San Francisco,139,134,2018-08-02,2022-11-29
The Majestic Ventura Theater,53d59739,Ventura,138,132,2018-08-10,2022-12-30
Bootleg Theater,53d60f19,Los Angeles,138,121,2018-08-09,2020-10-29
Constellation Room,3d7ddfb,Santa Ana,136,132,2018-08-03,2022-12-15
Private Venue,33d34885,Los Angeles,136,64,2018-08-11,2021-12-19
The Theatre at Ace Hotel,43d44b8b,Los Angeles,133,119,2018-08-07,2022-12-17
Alex's Bar,3bd6d484,Long Beach,131,115,2018-08-05,2022-12-23
Rickshaw Stop,7bd6da7c,San Francisco,130,128,2018-08-04,2022-12-13
Bill Graham Civic Auditorium,13d6354d,San Francisco,130,104,2018-08-15,2022-12-31
Pechanga Arena,2bd25cba,San Diego,128,119,2018-12-14,2022-12-31
Fairplex,2bd2947e,Pomona,126,123,2018-08-31,2019-11-10
Pappy & Harriet's Palace,1bd61950,Pioneertown,125,107,2018-08-03,2022-12-18
Strummer's,63d4964b,Fresno,124,117,2018-08-04,2022-12-29
Golden 1 Center,53d5c7d5,Sacramento,124,113,2018-08-24,2022-12-21
The Canyon,43d55b6f,Agoura Hills,121,95,2018-08-10,2022-12-31
"",53d18319,Los Angeles,119,90,2018-08-09,2022-12-31
The Ritz,73d44665,San Jose,118,107,2018-08-03,2022-12-02
Del Mar Fairgrounds,2bd6ccba,Del Mar,115,112,2018-09-13,2020-12-05
Harry Bridges Memorial Park,6bd39e52,Long Beach,114,114,2018-08-12,2020-02-09
Humphreys,43d29bbb,San Diego,114,93,2018-08-03,2022-11-20
William Randolph Hearst Greek Theatre,53d3a395,Berkeley,114,101,2018-08-09,2022-11-05
The Catalyst Atrium,13d38dc9,Santa Cruz,114,113,2018-08-03,2022-12-14
Honda Center,5bd637a8,Anaheim,111,100,2018-08-04,2022-12-10
Goldfield Trading Post,7bd0da98,Roseville,109,103,2021-12-02,2022-12-31
Freight & Salvage,2bd63082,Berkeley,109,77,2018-08-11,2022-12-31
Goldfield Trading Post,bd5d53a,Sacramento,108,107,2018-08-03,2022-12-15
Norwegian Jewel,33d3dc19,Los Angeles,108,57,2019-10-13,2022-11-11
Shoreline Amphitheatre,5bd6d7b4,Mountain View,107,97,2018-08-04,2022-11-05
The Canyon - Santa Clarita,3d2e9f3,Santa Clarita,105,80,2018-08-03,2022-12-30
Terrapin Crossroads,6bd77a12,San Rafael,103,41,2018-08-11,2020-12-03
Oakland Metro Operahouse,3bd398c4,Oakland,102,94,2018-08-09,2022-11-05
Felton Music Hall,5bd3a398,Felton,101,89,2019-08-17,2022-12-17
Jimmy Kimmel Live,4bd7c3d6,Los Angeles,101,94,2018-08-06,2022-11-01
Catch One,1bde892c,Los Angeles,100,99,2018-09-15,2022-12-20
Dodger Stadium,1bd63960,Los Angeles,100,98,2018-11-10,2022-12-03
City National Grove of Anaheim,43d78fd7,Anaheim,100,86,2018-08-11,2022-12-17
SOMA,6bd6c2f6,San Diego,99,88,2018-08-13,2022-12-31
Chase Center,4bd3f3f2,San Francisco,99,87,2019-09-03,2022-12-11
Miner Auditorium,5bd4e300,San Francisco,98,39,2018-08-04,2022-12-23
Holland America Lines-MS Koningsdam,4bd057ba,San Diego,96,30,2022-10-29,2022-11-04
Doheny State Beach,1bd7e5d0,Dana Point,92,90,2018-09-28,2022-10-02
Hopmonk Tavern,13d74dc1,Novato,91,57,2018-08-04,2022-12-31
The Rose,33d5f011,Pasadena,89,78,2018-08-03,2020-03-06
Mystic Theatre,13d6c591,Petaluma,89,70,2018-08-05,2022-12-30
