venue_id,venue_name,city_name,n_events,n_artists,capacity,capacity_source
2bd02c76,Kia Forum,Inglewood,164,124,17500,wikipedia
33d4b801,Yoshi's Oakland,Oakland,161,66,310,operator
43d637b3,Wiltern Theatre,Los Angeles,120,114,1850,wikipedia
3d28953,The Belasco,Los Angeles,118,114,1500,wikipedia
5bd6c3c8,Discovery Park,Sacramento,115,112,30000,festival_aftershock
43d63bdb,House of Blues,Anaheim,107,93,2200,operator
4bd4c71e,Great American Music Hall,San Francisco,101,92,600,wikipedia
7bd0da98,Goldfield Trading Post,Roseville,99,96,1000,operator
3d47157,The Regent Theater,Los Angeles,99,91,1000,operator
4bd057ba,Holland America Lines-MS Koningsdam,San Diego,96,30,200,cruise_show_theater
33d62cf9,Hollywood Bowl,Los Angeles,94,74,17500,wikipedia
3bd61cdc,Belly Up Tavern,Solana Beach,91,81,600,operator
7bd61e48,The Glass House,Pomona,91,89,800,operator
4bd293fe,Lodge Room,Los Angeles,89,77,350,operator
73d63a75,Hollywood Palladium,Los Angeles,83,74,4000,wikipedia
3d23db7,The Fillmore,San Francisco,82,76,1150,wikipedia
63d772f7,The Chapel,San Francisco,81,65,600,operator
3bd6d81c,Troubadour,West Hollywood,80,69,500,wikipedia
bd5d53a,Goldfield Trading Post,Sacramento,79,79,1500,operator
6bd7cab2,The Observatory,Santa Ana,78,74,1000,operator
53d44759,The Observatory North Park,San Diego,78,74,1100,operator
3d035e7,Brick by Brick,San Diego,77,75,300,operator
33d3dc19,Norwegian Jewel,Los Angeles,76,37,200,cruise_show_theater
4bd61ff2,Greek Theatre,Los Angeles,76,72,5900,wikipedia
5bd66bd4,Whisky A Go Go,West Hollywood,74,70,500,wikipedia
13d65575,Los Angeles State Historic Park,Los Angeles,73,73,40000,festival_hardsummer
3d66d67,The Roxy,West Hollywood,73,69,500,wikipedia
73d20205,Moreno Beach,Perris,71,71,35000,festival_lakeparty
3bd0e848,2220 Arts + Archives,Los Angeles,70,63,200,operator
7bd63658,The Catalyst,Santa Cruz,70,70,800,operator
63d35a77,The Regency Ballroom,San Francisco,70,65,1400,operator
63d63667,The Warfield,San Francisco,70,62,2300,wikipedia
7bd6c2a4,The Coach House,San Juan Capistrano,69,63,480,operator
53d237a9,Garden Amphitheatre,Garden Grove,69,66,1300,operator
2bd6c42a,House of Blues,San Diego,68,68,1100,operator
3d6cdeb,Golden Gate Park,San Francisco,67,66,75000,festival_outsidelands
4bd39bea,Brookside Park,Pasadena,67,67,30000,festival_cruelworld
23d2b0bb,Zebulon Cafe,Los Angeles,66,60,200,operator
4bd63b02,Largo at the Coronet,Los Angeles,66,31,280,operator
73d066f1,Pier 80,San Francisco,65,65,30000,festival_portola
bd70d76,The Mountain Winery,Saratoga,65,59,2500,operator
13d6c93d,Nevada County Fairgrounds,Grass Valley,65,45,15000,festival_worldfest
1bd74988,The Fonda Theatre,Los Angeles,64,54,1200,wikipedia
3bd2c488,Fox Theater,Oakland,64,59,2800,wikipedia
1bd39900,Blue Note Napa,Napa,64,22,175,operator
73d6ca21,The Echo,Los Angeles,63,62,350,operator
23d3ece3,The Kelly Clarkson Show,Universal City,62,1,200,tv_studio_audience
13d38dc9,The Catalyst Atrium,Santa Cruz,60,60,350,operator
3d6358b,Bottom of the Hill,San Francisco,60,60,250,wikipedia
1bd63960,Dodger Stadium,Los Angeles,59,57,50000,concert_typical
63d7a257,Ace of Spades,Sacramento,57,56,1000,wikipedia
63d6c247,The Independent,San Francisco,55,52,500,operator
2bd390d6,Harlow's Restaurant & Nightclub,Sacramento,54,52,200,operator
23d5b49b,Teragram Ballroom,Los Angeles,51,45,600,operator
53d63b61,The Casbah,San Diego,51,48,200,wikipedia
7bd4e2f8,El Rey Theatre,Los Angeles,51,50,750,wikipedia
3bd3c478,Oakland Arena,Oakland,51,48,19500,wikipedia
bd2fd2a,1720,Los Angeles,50,49,1500,operator
23d24cff,The Masked Singer,Los Angeles,50,28,200,tv_studio_audience
63d0c27f,Cornerstone,Berkeley,50,50,700,operator
3d7ddfb,Constellation Room,Santa Ana,49,49,350,operator
5bd6d7b4,Shoreline Amphitheatre,Mountain View,49,45,22500,wikipedia
7bd61e78,Echoplex,Los Angeles,49,47,700,operator
4bd7337a,Sweetwater Music Hall,Mill Valley,48,42,300,operator
6bd6c2f6,SOMA,San Diego,47,42,2500,operator
4bd3f3f2,Chase Center,San Francisco,46,44,18000,wikipedia
53d623c1,Chain Reaction,Anaheim,46,42,350,operator
23d0f42f,YouTube Theater,Inglewood,46,44,6000,wikipedia
3bd7c020,Los Angeles Theatre,Los Angeles,45,43,2000,operator
7bd6da7c,Rickshaw Stop,San Francisco,43,43,500,operator
13d6354d,Bill Graham Civic Auditorium,San Francisco,42,36,8500,wikipedia
1bd61950,Pappy & Harriet's Palace,Pioneertown,42,39,500,operator
